atan-vega-3-chunk-0468.smt2: "0.0947726260000000":str
atan-vega-3-chunk-0469.smt2: "0.0918402800000000":str
atan-vega-3-chunk-0470.smt2: "0.2511128430000000":str
atan-vega-3-chunk-0474.smt2: "0.2975337540000000":str
atan-vega-3-chunk-0477.smt2: "0.0016590420000000":str
atan-vega-3-chunk-0479.smt2: "0.0001168170000000":str
atan-vega-3-chunk-0480.smt2: "0.0002749940000000":str
atan-vega-3-chunk-0482.smt2: "0.1886090910000000":str
atan-vega-3-chunk-0486.smt2: "0.0001117860000000":str
atan-vega-3-chunk-0487.smt2: "0.0002228730000000":str
atan-vega-3-chunk-0488.smt2: "0.0001057770000000":str
atan-vega-3-chunk-0492.smt2: "0.0003083190000000":str
atan-vega-3-chunk-0496.smt2: "0.0001291820000000":str
atan-vega-3-chunk-0500.smt2: "0.0002283920000000":str
atan-vega-3-chunk-0504.smt2: "0.0957158420000000":str
atan-vega-3-chunk-0506.smt2: "0.0890234690000000":str
atan-vega-3-chunk-0507.smt2: "0.0969850450000000":str
atan-vega-3-chunk-0510.smt2: "0.0872804130000000":str
atan-vega-3-chunk-0511.smt2: "0.1017254700000000":str
atan-vega-3-chunk-0512.smt2: "0.2205930430000000":str
atan-vega-3-chunk-0519.smt2: "0.1788218290000000":str
atan-vega-3-chunk-0522.smt2: "0.0009515790000000":str
atan-vega-3-chunk-0524.smt2: "0.0902484010000000":str
atan-vega-3-chunk-0526.smt2: "0.2446528650000000":str
atan-vega-3-chunk-0527.smt2: "0.1366446860000000":str
atan-vega-3-chunk-0528.smt2: "0.1042720410000000":str
atan-vega-3-chunk-0534.smt2: "0.0002525670000000":str
atan-vega-3-chunk-0539.smt2: "0.0971815140000000":str
atan-vega-3-chunk-0541.smt2: "0.0002353790000000":str
atan-vega-3-chunk-0545.smt2: "0.0003062940000000":str
atan-vega-3-chunk-0546.smt2: "0.0001653740000000":str
atan-vega-3-chunk-0560.smt2: "0.0002643740000000":str
atan-vega-3-chunk-0565.smt2: "0.1093211420000000":str
atan-vega-3-chunk-0573.smt2: "0.5803618260000000":str
atan-vega-3-chunk-0576.smt2: "0.4771040310000000":str
atan-vega-3-chunk-0580.smt2: "0.0972545790000000":str
atan-vega-3-chunk-0586.smt2: "0.1916579750000000":str
atan-vega-3-chunk-0593.smt2: "0.0016374620000000":str
atan-vega-3-chunk-0594.smt2: "0.0956988610000000":str
atan-vega-3-chunk-0598.smt2: "0.0002765310000000":str
atan-vega-3-chunk-0599.smt2: "0.0003792360000000":str
atan-vega-3-chunk-0602.smt2: "0.1898520650000000":str
atan-vega-3-chunk-0605.smt2: "0.0003134920000000":str
atan-vega-3-chunk-0612.smt2: "0.2641994080000000":str
atan-vega-3-chunk-0615.smt2: "0.0003836380000000":str
atan-vega-3-chunk-0620.smt2: "5.8318960669999997":str
atan-vega-3-chunk-0622.smt2: "0.0005810070000000":str
atan-vega-3-chunk-0631.smt2: "0.0005007880000000":str
atan-vega-3-chunk-0634.smt2: "0.3532000990000000":str
atan-vega-3-chunk-0638.smt2: "0.4163940750000000":str
atan-vega-3-chunk-0639.smt2: "0.0905845680000000":str
atan-vega-3-chunk-0641.smt2: "0.1034705160000000":str
atan-vega-3-weak-chunk-0019.smt2: "0.0930174590000000":str
atan-vega-3-weak-chunk-0026.smt2: "0.0975572020000000":str
atan-vega-3-weak-chunk-0030.smt2: "0.0914291560000000":str
atan-vega-3-weak-chunk-0068.smt2: "0.0936909280000000":str
atan-vega-3-weak-chunk-0071.smt2: "0.1039836520000000":str
atan-vega-3-weak-chunk-0074.smt2: "0.0973453720000000":str
atan-vega-3-weak-chunk-0079.smt2: "0.1123442850000000":str
atan-vega-3-weak-chunk-0101.smt2: "0.0001546480000000":str
atan-vega-3-weak-chunk-0103.smt2: "0.1011934900000000":str
atan-vega-3-weak-chunk-0104.smt2: "0.0001688240000000":str
atan-vega-3-weak-chunk-0106.smt2: "0.0001234410000000":str
atan-vega-3-weak-chunk-0109.smt2: "0.0002433220000000":str
atan-vega-3-weak-chunk-0119.smt2: "0.0002484200000000":str
atan-vega-3-weak-chunk-0125.smt2: "0.0001947980000000":str
