atan-vega-3-chunk-0545.smt2: "0.0008534920000000":str
atan-vega-3-chunk-0546.smt2: "0.0001370340000000":str
atan-vega-3-chunk-0560.smt2: "0.3344702210000000":str
atan-vega-3-chunk-0565.smt2: "0.1275174830000000":str
atan-vega-3-chunk-0573.smt2: "0.4327337530000000":str
atan-vega-3-chunk-0576.smt2: "0.5828913489999999":str
atan-vega-3-chunk-0580.smt2: "0.1156116170000000":str
atan-vega-3-chunk-0586.smt2: "0.3021013450000000":str
atan-vega-3-chunk-0593.smt2: "0.0059291100000000":str
atan-vega-3-chunk-0594.smt2: "0.0906157690000000":str
atan-vega-3-chunk-0598.smt2: "0.0002660350000000":str
atan-vega-3-chunk-0599.smt2: "0.0004929580000000":str
atan-vega-3-chunk-0602.smt2: "0.2069319620000000":str
atan-vega-3-chunk-0605.smt2: "0.0035908800000000":str
atan-vega-3-chunk-0612.smt2: "0.6735188519999999":str
atan-vega-3-chunk-0615.smt2: "0.0048567290000000":str
atan-vega-3-chunk-0620.smt2: "6.0919110329999997":str
atan-vega-3-chunk-0622.smt2: "0.0005008490000000":str
atan-vega-3-chunk-0631.smt2: "0.0051157760000000":str
atan-vega-3-chunk-0634.smt2: "0.6075954520000000":str
atan-vega-3-chunk-0638.smt2: "0.7253316190000000":str
atan-vega-3-chunk-0639.smt2: "0.3355061010000000":str
atan-vega-3-chunk-0641.smt2: "0.0904369140000000":str
atan-vega-3-weak-chunk-0019.smt2: "0.1780228760000000":str
atan-vega-3-weak-chunk-0026.smt2: "0.0926199500000000":str
atan-vega-3-weak-chunk-0030.smt2: "0.0914035510000000":str
atan-vega-3-weak-chunk-0068.smt2: "0.0953128470000000":str
atan-vega-3-weak-chunk-0071.smt2: "0.1033097430000000":str
atan-vega-3-weak-chunk-0074.smt2: "0.1002480710000000":str
atan-vega-3-weak-chunk-0079.smt2: "0.2118374410000000":str
atan-vega-3-weak-chunk-0101.smt2: "0.0001364740000000":str
atan-vega-3-weak-chunk-0103.smt2: "0.1839613310000000":str
atan-vega-3-weak-chunk-0104.smt2: "0.1803865180000000":str
atan-vega-3-weak-chunk-0106.smt2: "0.0001627360000000":str
atan-vega-3-weak-chunk-0109.smt2: "0.0001716760000000":str
